experiment,condition,strain,trait,phenotype
top2 test,etoposide,Bristol,n,65.0871089207562
top2 test,etoposide,Bristol,n,106.087108920757
top2 test,etoposide,Hawaii,n,-116.907939202026
top2 test,etoposide,Hawaii,n,-89.9079392020256
top2 test,etoposide,Hawaii/∆top2,n,-140.573110715884
top2 test,etoposide,Hawaii/∆top2,n,-167.573110715884
top2 test,etoposide,Bristol/∆top2,n,36.9263474545145
top2 test,etoposide,Bristol/∆top2,n,108.926347454515
top2 test,etoposide,Bristol,n,-64.9128910792432
top2 test,etoposide,Bristol,n,21.0871089207568
top2 test,etoposide,Hawaii,n,-142.907939202026
top2 test,etoposide,Hawaii,n,-116.907939202026
top2 test,etoposide,Hawaii/∆top2,n,-124.573110715884
top2 test,etoposide,Hawaii/∆top2,n,15.4268892841156
top2 test,etoposide,Bristol/∆top2,n,28.9263474545145
top2 test,etoposide,Bristol/∆top2,n,-24.0736525454855
top2 test,etoposide,Bristol,n,23.0871089207568
top2 test,etoposide,Bristol,n,67.0871089207568
top2 test,etoposide,Hawaii,n,-107.907939202026
top2 test,etoposide,Hawaii,n,-83.9079392020256
top2 test,etoposide,Hawaii/∆top2,n,-30.5731107158844
top2 test,etoposide,Hawaii/∆top2,n,-115.573110715884
top2 test,etoposide,Bristol/∆top2,n,119.926347454515
top2 test,etoposide,Bristol/∆top2,n,19.9263474545145
top2 test,etoposide,Bristol,n,100.087108920757
top2 test,etoposide,Bristol,n,17.0871089207568
top2 test,etoposide,Hawaii,n,-124.907939202026
top2 test,etoposide,Hawaii,n,-93.9079392020256
top2 test,etoposide,Hawaii/∆top2,n,-69.5731107158844
top2 test,etoposide,Hawaii/∆top2,n,-54.5731107158844
top2 test,etoposide,Bristol/∆top2,n,86.9263474545145
top2 test,etoposide,Bristol/∆top2,n,102.926347454515
top2 test,etoposide,Bristol,n,32.0871089207568
top2 test,etoposide,Bristol,n,-55.9128910792432
top2 test,etoposide,Hawaii,n,-121.907939202026
top2 test,etoposide,Hawaii,n,-80.9079392020256
top2 test,etoposide,Hawaii/∆top2,n,-62.5731107158844
top2 test,etoposide,Hawaii/∆top2,n,-75.5731107158844
top2 test,etoposide,Bristol/∆top2,n,64.9263474545145
top2 test,etoposide,Bristol/∆top2,n,98.9263474545145
top2 test,etoposide,Bristol,n,-8.91289107924319
top2 test,etoposide,Bristol,n,49.0871089207568
top2 test,etoposide,Hawaii,n,-92.9079392020256
top2 test,etoposide,Hawaii,n,-109.907939202026
top2 test,etoposide,Hawaii/∆top2,n,-54.5731107158844
top2 test,etoposide,Hawaii/∆top2,n,-110.573110715884
top2 test,etoposide,Bristol/∆top2,n,36.9263474545145
top2 test,etoposide,Bristol/∆top2,n,73.9263474545145
top2 test,etoposide,Bristol,n,-66.9128910792432
top2 test,etoposide,Bristol,n,78.0871089207568
top2 test,etoposide,Hawaii,n,-116.907939202026
top2 test,etoposide,Hawaii,n,-137.907939202026
top2 test,etoposide,Hawaii/∆top2,n,-35.5731107158844
top2 test,etoposide,Hawaii/∆top2,n,-47.5731107158844
top2 test,etoposide,Bristol/∆top2,n,-66.0736525454855
top2 test,etoposide,Bristol/∆top2,n,125.926347454515
top2 test,etoposide,Bristol,n,-27.9128910792432
top2 test,etoposide,Hawaii,n,-105.907939202026
top2 test,etoposide,Hawaii/∆top2,n,-61.5731107158844
top2 test,etoposide,Bristol/∆top2,n,130.926347454515
npp3 test,etoposide,Bristol,n,198.675334128827
npp3 test,etoposide,Bristol,n,-42.3246658711728
npp3 test,etoposide,Bristol,n,62.6753341288272
npp3 test,etoposide,Bristol,n,129.675334128827
npp3 test,etoposide,Bristol,n,190.675334128827
npp3 test,etoposide,Bristol,n,62.6753341288272
npp3 test,etoposide,Bristol,n,97.6753341288272
npp3 test,etoposide,Bristol,n,131.675334128827
npp3 test,etoposide,Bristol,n,56.6753341288272
npp3 test,etoposide,Bristol,n,106.675334128827
npp3 test,etoposide,Hawaii,n,-74.85969019421
npp3 test,etoposide,Hawaii,n,-132.85969019421
npp3 test,etoposide,Hawaii,n,-140.85969019421
npp3 test,etoposide,Hawaii,n,-54.85969019421
npp3 test,etoposide,Hawaii,n,-63.85969019421
npp3 test,etoposide,Hawaii,n,-95.85969019421
npp3 test,etoposide,Hawaii,n,-65.85969019421
npp3 test,etoposide,Hawaii,n,-90.85969019421
npp3 test,etoposide,Hawaii,n,-115.85969019421
npp3 test,etoposide,Hawaii,n,-102.85969019421
npp3 test,etoposide,Hawaii,n,-166.85969019421
npp3 test,etoposide,Bristol/∆npp3,n,-23.8503267685647
npp3 test,etoposide,Bristol/∆npp3,n,61.1496732314353
npp3 test,etoposide,Bristol/∆npp3,n,-1.85032676856469
npp3 test,etoposide,Bristol/∆npp3,n,53.1496732314353
npp3 test,etoposide,Bristol/∆npp3,n,63.1496732314353
npp3 test,etoposide,Bristol/∆npp3,n,29.1496732314353
npp3 test,etoposide,Bristol/∆npp3,n,6.14967323143531
npp3 test,etoposide,Bristol/∆npp3,n,-16.8503267685647
npp3 test,etoposide,Bristol/∆npp3,n,15.1496732314353
npp3 test,etoposide,Bristol/∆npp3,n,51.1496732314353
npp3 test,etoposide,Hawaii/∆npp3,n,24.3959119246322
npp3 test,etoposide,Hawaii/∆npp3,n,-37.6040880753678
npp3 test,etoposide,Hawaii/∆npp3,n,-66.6040880753678
npp3 test,etoposide,Hawaii/∆npp3,n,43.3959119246322
npp3 test,etoposide,Hawaii/∆npp3,n,-23.6040880753678
npp3 test,etoposide,Hawaii/∆npp3,n,95.3959119246322
npp3 test,etoposide,Hawaii/∆npp3,n,-13.6040880753678
npp3 test,etoposide,Hawaii/∆npp3,n,-44.6040880753678
